LLD_0,LLD_1,LLD_2,LLD_3,LLD_4,LLD_5,LLD_6,LLD_7,LLD_8,LLD_9,LLD_10,LLD_11,LLD_12,LLD_13,LLD_14,LLD_15,LLD_16,LLD_17,LLD_18,LLD_19,LLD_20,LLD_21,LLD_22,LLD_23,LLD_24,LLD_25,LLD_26,LLD_27,LLD_28,LLD_29,LLD_30,LLD_31,LLD_32,LLD_33,LLD_34,LLD_35,LLD_36,LLD_37,LLD_38,LLD_39,LLD_40,LLD_41,LLD_42,LLD_43,LLD_44,LLD_45,LLD_46,LLD_47,LLD_48,LLD_49,LLD_50,LLD_51,LLD_52,LLD_53,LLD_54,LLD_55,LLD_56,LLD_57,LLD_58,LLD_59,LLD_60,LLD_61,LLD_62,LLD_63,LLD_64
0.0,0.0008971039205789566,0.4369880259037018,0.3003413,0.996587,0.10438622534275055,0.12633302807807922,0.23788906633853912,0.04157881438732147,0.1021652,0.144962,0.09803146123886108,0.4715236,0.3483142,0.09269782900810242,0.9349219,3.173727,0.24,0.77,0.04,0.2278157,0.3993174,0.1296928,0.01365188,0.011919346638023853,0.4417808,0.5429818630218506,0.000357804,-1.8329591751098633,0.4190975,0.3160042,-0.154076,-0.04368559,1.442091,0.3037543,0.8361775,0.8875377,0.9900128245353699,1.084174,0.0988887,0.1778508722782135,0.32676681876182556,0.7143905,2.009455,1.295065,0.2613443,1.971315,10.880882263183594,0.1405882,0.38,0.04,0.1423753798007965,0.2137053906917572,0.07167236,0.03754266,0.01365188,0.4931507,0.5672053098678589,0.009546916,-1.335904,0.2021527,0.1663082,0.006030410528182983,-0.1226903,0.04582016
0.0,0.001102249138057232,0.0037670712918043137,0.0,0.0,-0.0002380597870796919,-0.0001329269725829363,-0.00023791752755641937,0.0015090052038431168,0.0,0.0,-9.689293801784515e-05,0.0,0.0,-0.002219659276306629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009173164144158363,0.0,-0.00014188885688781738,0.0,0.0038341707549989223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033004581928253174,0.0,0.0,0.0005080895498394966,0.0013204831629991531,0.0,0.0,0.0,0.0,0.0,0.11745256930589676,0.0,0.0,0.0,-0.0009532992262393236,-0.002189165912568569,0.0,0.0,0.0,0.0,-0.00011656433343887329,0.0,0.0,0.0,0.0,-6.699934601783752e-05,0.0,0.0
0.0,0.0011392789892852306,0.0019974317401647568,0.0,0.0,-0.00034978403709828854,0.00012765522114932537,-0.00040574464946985245,0.0012501496821641922,0.0,0.0,0.00016365014016628265,0.0,0.0,-0.0015697507187724113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007931562140583992,0.0,-4.413537681102753e-05,0.0,0.00020145531743764877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001363847404718399,0.0,0.0,-0.00015578465536236763,2.4730339646339417e-05,0.0,0.0,0.0,0.0,0.0,0.0976455882191658,0.0,0.0,0.0,0.00035206181928515434,-0.0004075122997164726,0.0,0.0,0.0,0.0,-3.066984936594963e-05,0.0,0.0,0.0,0.0,-0.0004611089825630188,0.0,0.0
0.0,0.001214579213410616,0.000837620347738266,0.0,0.0,-4.402897320687771e-05,7.974635809659958e-05,-0.00031991396099328995,0.0008742231875658035,0.0,0.0,0.00017363205552101135,0.0,0.0,-0.0009021777659654617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005177808925509453,0.0,2.5821849703788757e-05,0.0,-0.0003346996381878853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001666788011789322,0.0,0.0,0.0001304992474615574,0.0001736953854560852,0.0,0.0,0.0,0.0,0.0,0.07298851758241653,0.0,0.0,0.0,5.091959610581398e-05,-0.00042729824781417847,0.0,0.0,0.0,0.0,1.7014797776937485e-05,0.0,0.0,0.0,0.0,-0.00042218901216983795,0.0,0.0
0.0,0.0012487559579312801,0.0006666425615549088,0.0,0.0,-1.901388168334961e-05,-6.454531103372574e-05,-0.00020793359726667404,0.0003423355519771576,0.0,0.0,0.00010061822831630707,0.0,0.0,-0.000382312573492527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013488531112670898,0.0,0.00019561126828193665,0.0,-0.00010554678738117218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001673717051744461,0.0,0.0,6.161024793982506e-05,0.0003923121839761734,0.0,0.0,0.0,0.0,0.0,0.054019130766391754,0.0,0.0,0.0,-3.810296766459942e-05,-0.00034783361479640007,0.0,0.0,0.0,0.0,1.7703045159578323e-05,0.0,0.0,0.0,0.0,-0.0003718473017215729,0.0,0.0
0.0,0.0012449710629880428,0.0006609652191400528,0.0,0.0,-5.11854887008667e-06,-7.628090679645538e-05,-0.00016895029693841934,9.412132203578949e-05,0.0,0.0,8.348934352397919e-05,0.0,0.0,-0.00011435337364673615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001852111890912056,0.0,0.00019773095846176147,0.0,0.0002343747764825821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001242309808731079,0.0,0.0,6.328662857413292e-05,0.0003670640289783478,0.0,0.0,0.0,0.0,0.0,0.04000810533761978,0.0,0.0,0.0,-2.154591493308544e-05,-0.0003570159897208214,0.0,0.0,0.0,0.0,2.820650115609169e-05,0.0,0.0,0.0,0.0,-9.337253868579865e-05,0.0,0.0
0.0,0.0012300708331167698,0.0006207693368196487,0.0,0.0,3.024493344128132e-05,-5.107675679028034e-05,-0.0001683393493294716,3.2065436244010925e-05,0.0,0.0,0.00010146386921405792,0.0,0.0,-2.192240208387375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00039407890290021896,0.0,0.0001577083021402359,0.0,0.00036780815571546555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.941495954990387e-05,0.0,0.0,-0.00010457774624228477,0.0002529546618461609,0.0,0.0,0.0,0.0,0.0,0.030864425003528595,0.0,0.0,0.0,-5.2593182772397995e-05,-0.00035869795829057693,0.0,0.0,0.0,0.0,4.3812673538923264e-05,0.0,0.0,0.0,0.0,-6.560422480106354e-05,0.0,0.0
0.0,0.0012197052128612995,0.0005843956023454666,0.0,0.0,6.695836782455444e-05,-4.2760977521538734e-05,-0.00017953570932149887,1.944229006767273e-05,0.0,0.0,0.00011496990919113159,0.0,0.0,-5.0961971282958984e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005125105381011963,0.0,0.00011212565004825592,0.0,0.0003894781693816185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.002536535263062e-05,0.0,0.0,-0.00014496594667434692,0.0002787429839372635,0.0,0.0,0.0,0.0,0.0,0.02497807890176773,0.0,0.0,0.0,-4.90616075694561e-05,-0.00033563654869794846,0.0,0.0,0.0,0.0,5.358504131436348e-05,0.0,0.0,0.0,0.0,-5.823373794555664e-05,0.0,0.0
0.0,0.0012170551344752312,0.0005675572901964188,0.0,0.0,9.611481800675392e-05,-4.6067871153354645e-05,-0.00018830131739377975,1.2481585144996643e-05,0.0,0.0,0.0001170765608549118,0.0,0.0,-6.147660315036774e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005744602531194687,0.0,7.345154881477356e-05,0.0,0.0003969138488173485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.584186434745789e-05,0.0,0.0,-0.00011112261563539505,0.0003381725400686264,0.0,0.0,0.0,0.0,0.0,0.021353937685489655,0.0,0.0,0.0,-2.934318035840988e-05,-0.0003139125183224678,0.0,0.0,0.0,0.0,5.6224409490823746e-05,0.0,0.0,0.0,0.0,-5.550496280193329e-05,0.0,0.0
0.0,0.0012196660973131657,0.0005600564181804657,0.0,0.0,0.00011477037332952023,-5.036615766584873e-05,-0.00019124243408441544,6.211921572685242e-06,0.0,0.0,0.00011337175965309143,0.0,0.0,-4.95370477437973e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006058784201741219,0.0,4.709698259830475e-05,0.0,0.0004067942500114441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.365139365196228e-05,0.0,0.0,-7.792655378580093e-05,0.00036977045238018036,0.0,0.0,0.0,0.0,0.0,0.019309528172016144,0.0,0.0,0.0,-1.2406613677740097e-05,-0.0003012716770172119,0.0,0.0,0.0,0.0,5.438877269625664e-05,0.0,0.0,0.0,0.0,-5.2344053983688354e-05,0.0,0.0
