LLD_0,LLD_1,LLD_2,LLD_3,LLD_4,LLD_5,LLD_6,LLD_7,LLD_8,LLD_9,LLD_10,LLD_11,LLD_12,LLD_13,LLD_14,LLD_15,LLD_16,LLD_17,LLD_18,LLD_19,LLD_20,LLD_21,LLD_22,LLD_23,LLD_24,LLD_25,LLD_26,LLD_27,LLD_28,LLD_29,LLD_30,LLD_31,LLD_32,LLD_33,LLD_34,LLD_35,LLD_36,LLD_37,LLD_38,LLD_39,LLD_40,LLD_41,LLD_42,LLD_43,LLD_44,LLD_45,LLD_46,LLD_47,LLD_48,LLD_49,LLD_50,LLD_51,LLD_52,LLD_53,LLD_54,LLD_55,LLD_56,LLD_57,LLD_58,LLD_59,LLD_60,LLD_61,LLD_62,LLD_63,LLD_64
0.0,0.0008971039205789566,0.6802154779434204,0.3436293,0.9266409,0.10913871228694916,0.151521697640419,0.31323620676994324,0.04882901906967163,0.1480939,0.1976634,0.09336616843938828,0.7493323,0.6453643,0.16327030956745148,1.105172,3.423235,0.1358333,0.25,0.05,0.05514501,0.4092664,0.1737452,0.05791506,0.016264986246824265,0.4883721,0.519640326499939,0.0006295562,-1.9263522624969482,0.6204475,0.2172726,-0.2178077,0.06681665,2.576754,0.1081081,0.5366796,0.8182482,0.99754798412323,1.286433,0.2057562,0.29393237829208374,0.49407070875167847,0.5201675,2.854039,2.333871,0.4399503,1.771128,10.623910903930664,0.1145454,0.26,0.03,0.10991235822439194,0.28126978874206543,0.06563707,0.02702703,0.01158301,0.4767442,0.5774599313735962,0.01570025,-1.437546,0.2611015,0.1914429,0.008517719805240631,-0.1057491,0.04099262
0.0,0.001102249138057232,0.004895167425274849,0.0,0.0,-8.631427772343159e-05,-8.737784810364246e-05,-0.000285114161670208,0.001467537134885788,0.0,0.0,4.598870873451233e-06,0.0,0.0,-0.001971498131752014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008940082043409348,0.0,8.434802293777466e-05,0.0,0.0035995589569211006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.017888128757477e-05,0.0,0.0,-0.00022377539426088333,0.00014398060739040375,0.0,0.0,0.0,0.0,0.0,0.11504054814577103,0.0,0.0,0.0,-0.0007970386650413275,-0.0016330396756529808,0.0,0.0,0.0,0.0,-0.00013421149924397469,0.0,0.0,0.0,0.0,-6.769970059394836e-05,0.0,0.0
0.0,0.0011392789892852306,0.0024043340235948563,0.0,0.0,-7.841340266168118e-05,0.00018180347979068756,-0.00036893878132104874,0.0012353602796792984,0.0,0.0,0.00014131143689155579,0.0,0.0,-0.0013762908056378365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008851559832692146,0.0,-1.0129064321517944e-05,0.0,0.0006371233612298965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003374442458152771,0.0,0.0,0.00030895136296749115,8.932128548622131e-05,0.0,0.0,0.0,0.0,0.0,0.09486676007509232,0.0,0.0,0.0,0.0003827183973044157,-0.0008211764506995678,0.0,0.0,0.0,0.0,-5.1882583647966385e-05,0.0,0.0,0.0,0.0,-0.0004496816545724869,0.0,0.0
0.0,0.001214579213410616,0.0009814407676458359,0.0,0.0,3.3612363040447235e-05,7.081916555762291e-05,-0.000301530584692955,0.0008678212761878967,0.0,0.0,0.00010705552995204926,0.0,0.0,-0.0007686736062169075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005846479907631874,0.0,5.612894892692566e-05,0.0,-0.00023811496794223785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024195760488510132,0.0,0.0,0.0001950911246240139,0.00029506534337997437,0.0,0.0,0.0,0.0,0.0,0.07068417221307755,0.0,0.0,0.0,1.782923936843872e-05,-0.0005913926288485527,0.0,0.0,0.0,0.0,-4.37186099588871e-05,0.0,0.0,0.0,0.0,-0.0004171561449766159,0.0,0.0
0.0,0.0012487559579312801,0.0007174070924520493,0.0,0.0,6.642937660217285e-05,-3.814045339822769e-05,-0.00019315537065267563,0.0003427024930715561,0.0,0.0,4.01083379983902e-05,0.0,0.0,-0.00031819287687540054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016902945935726166,0.0,-0.00011980533599853516,0.0,-8.491845801472664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0401315093040466e-05,0.0,0.0,-4.409812390804291e-07,0.00023849308490753174,0.0,0.0,0.0,0.0,0.0,0.05270612984895706,0.0,0.0,0.0,-1.7757760360836983e-05,-0.0003059627488255501,0.0,0.0,0.0,0.0,7.418682798743248e-05,0.0,0.0,0.0,0.0,-0.00037586502730846405,0.0,0.0
0.0,0.0012449710629880428,0.0006774365901947021,0.0,0.0,4.024012014269829e-05,-5.550985224545002e-05,-0.0001601697877049446,9.482912719249725e-05,0.0,0.0,6.773695349693298e-05,0.0,0.0,-8.996110409498215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016971677541732788,0.0,-8.975155651569366e-05,0.0,0.00026825256645679474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.256462514400482e-05,0.0,0.0,7.78399407863617e-06,0.0003246236592531204,0.0,0.0,0.0,0.0,0.0,0.03931943327188492,0.0,0.0,0.0,-9.451527148485184e-06,-0.00033679837360978127,0.0,0.0,0.0,0.0,7.575703784823418e-05,0.0,0.0,0.0,0.0,-9.157881140708923e-05,0.0,0.0
0.0,0.0012300708331167698,0.0006242617964744568,0.0,0.0,6.162305362522602e-05,-4.1047343984246254e-05,-0.0001616198569536209,3.192014992237091e-05,0.0,0.0,0.00011031515896320343,0.0,0.0,-1.4423392713069916e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000386812724173069,0.0,-5.43743371963501e-05,0.0,0.00039445143193006516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.67630273103714e-05,0.0,0.0,-4.357378929853439e-05,0.00036579743027687073,0.0,0.0,0.0,0.0,0.0,0.030473478138446808,0.0,0.0,0.0,-6.857211701571941e-05,-0.0003033773973584175,0.0,0.0,0.0,0.0,7.400335744023323e-05,0.0,0.0,0.0,0.0,-6.434321403503418e-05,0.0,0.0
0.0,0.0012197052128612995,0.0005839001387357712,0.0,0.0,9.117322042584419e-05,-3.6339275538921356e-05,-0.00017328839749097824,1.8933787941932678e-05,0.0,0.0,0.00012869574129581451,0.0,0.0,-3.482215106487274e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000508447177708149,0.0,-4.157610237598419e-05,0.0,0.00039391592144966125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.136880695819855e-05,0.0,0.0,-6.237998604774475e-05,0.0003783963620662689,0.0,0.0,0.0,0.0,0.0,0.024718649685382843,0.0,0.0,0.0,-7.184641435742378e-05,-0.0002832263708114624,0.0,0.0,0.0,0.0,7.569743320345879e-05,0.0,0.0,0.0,0.0,-5.7561323046684265e-05,0.0,0.0
0.0,0.0012170551344752312,0.0005664322525262833,0.0,0.0,0.00011290074326097965,-3.987923264503479e-05,-0.00018284562975168228,1.197122037410736e-05,0.0,0.0,0.00012723542749881744,0.0,0.0,-6.231479346752167e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000571676529943943,0.0,-3.434717655181885e-05,0.0,0.00038027483969926834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4223700165748596e-05,0.0,0.0,-5.776155740022659e-05,0.0003765765577554703,0.0,0.0,0.0,0.0,0.0,0.021166063845157623,0.0,0.0,0.0,-4.708440974354744e-05,-0.000284489244222641,0.0,0.0,0.0,0.0,7.347716018557549e-05,0.0,0.0,0.0,0.0,-5.524978041648865e-05,0.0,0.0
0.0,0.0012196660973131657,0.0005591735243797302,0.0,0.0,0.00012571061961352825,-4.416820593178272e-05,-0.00018700677901506424,5.7872384786605835e-06,0.0,0.0,0.00011853128671646118,0.0,0.0,-5.431473255157471e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006037773564457893,0.0,-2.6829540729522705e-05,0.0,0.00037738122045993805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.31768935918808e-05,0.0,0.0,-5.183462053537369e-05,0.00036940164864063263,0.0,0.0,0.0,0.0,0.0,0.019167132675647736,0.0,0.0,0.0,-2.3612752556800842e-05,-0.0002866210415959358,0.0,0.0,0.0,0.0,6.821984425187111e-05,0.0,0.0,0.0,0.0,-5.22807240486145e-05,0.0,0.0
0.0,0.0012242896482348442,0.0005535800009965897,0.0,0.0,0.00013209227472543716,-4.618777893483639e-05,-0.0001871725544333458,5.755573511123657e-07,0.0,0.0,0.0001103859394788742,0.0,0.0,-1.0244548320770264e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000620650127530098,0.0,-1.8341466784477234e-05,0.0,0.00037635769695043564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0182301998138428e-05,0.0,0.0,-4.941551014780998e-05,0.00036207400262355804,0.0,0.0,0.0,0.0,0.0,0.01814485341310501,0.0,0.0,0.0,-8.455710485577583e-06,-0.0002869130112230778,0.0,0.0,0.0,0.0,6.193434819579124e-05,0.0,0.0,0.0,0.0,-4.984065890312195e-05,0.0,0.0
0.0,0.0012287367135286331,0.0005478579550981522,0.0,0.0,0.00013485830277204514,-4.592631012201309e-05,-0.00018555019050836563,-3.999099135398865e-06,0.0,0.0,0.00010533630847930908,0.0,0.0,6.959773600101471e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006303917616605759,0.0,-9.909272193908691e-06,0.0,0.0003698701038956642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.262663424015045e-05,0.0,0.0,-4.917057231068611e-05,0.0003565177321434021,0.0,0.0,0.0,0.0,0.0,0.017637528479099274,0.0,0.0,0.0,9.988434612751007e-08,-0.000287005677819252,0.0,0.0,0.0,0.0,5.612103268504143e-05,0.0,0.0,0.0,0.0,-4.764646291732788e-05,0.0,0.0
0.0,0.0012320410460233688,0.0005424637347459793,0.0,0.0,0.00013595935888588428,-4.42450400441885e-05,-0.00018361490219831467,-8.007511496543884e-06,0.0,0.0,0.00010315142571926117,0.0,0.0,1.3046897947788239e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006367303431034088,0.0,-2.7120113372802734e-06,0.0,0.0003573307767510414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.658343434333801e-05,0.0,0.0,-4.955148324370384e-05,0.00035295262932777405,0.0,0.0,0.0,0.0,0.0,0.017339415848255157,0.0,0.0,0.0,4.79305163025856e-06,-0.00028730370104312897,0.0,0.0,0.0,0.0,5.152588710188866e-05,0.0,0.0,0.0,0.0,-4.5880675315856934e-05,0.0,0.0
