LLD_0,LLD_1,LLD_2,LLD_3,LLD_4,LLD_5,LLD_6,LLD_7,LLD_8,LLD_9,LLD_10,LLD_11,LLD_12,LLD_13,LLD_14,LLD_15,LLD_16,LLD_17,LLD_18,LLD_19,LLD_20,LLD_21,LLD_22,LLD_23,LLD_24,LLD_25,LLD_26,LLD_27,LLD_28,LLD_29,LLD_30,LLD_31,LLD_32,LLD_33,LLD_34,LLD_35,LLD_36,LLD_37,LLD_38,LLD_39,LLD_40,LLD_41,LLD_42,LLD_43,LLD_44,LLD_45,LLD_46,LLD_47,LLD_48,LLD_49,LLD_50,LLD_51,LLD_52,LLD_53,LLD_54,LLD_55,LLD_56,LLD_57,LLD_58,LLD_59,LLD_60,LLD_61,LLD_62,LLD_63,LLD_64
0.0,0.0008971039205789566,2.141881227493286,0.6985646,0.02870813,0.11603298783302307,0.4068939685821533,0.8013942837715149,0.2529299855232239,0.2614794,0.5078849,0.082239530980587,2.102307,2.025164,0.537721574306488,0.9991944,3.612737,0.2571428,0.54,0.06,0.1821079,0.6076555,0.1818182,0.08612441,0.031333401799201965,0.5384616,0.5307018756866455,0.004519942,-2.012004852294922,0.918774,0.2526468,-0.566219,0.2212997,3.14146,0.1435407,0.8851675,0.8391135,1.0225006341934204,1.596229,0.3154784,0.40131881833076477,0.6603596806526184,0.6599641,3.572764,2.9128,0.6342216,1.697242,9.666208267211914,0.1258333,0.31,0.03,0.139017716050148,0.23357410728931427,0.07655502,0.03349282,0.01913876,0.4326923,0.5614643692970276,0.01430144,-1.443308,0.335606,0.1398243,-0.04354194179177284,-0.01673901,0.161687
0.0,0.001102249138057232,0.0030808541923761368,0.0,0.0,0.0009910250082612038,0.0015498411376029253,-6.662029772996902e-05,0.00013240240514278412,0.0,0.0,0.0004232507199048996,0.0,0.0,-0.001290258951485157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008131088688969612,0.0,-6.033293902873993e-05,0.0,0.003288211766630411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00379781611263752,0.0,0.0,0.0005996348336338997,-4.215165972709656e-06,0.0,0.0,0.0,0.0,0.0,0.10349128395318985,0.0,0.0,0.0,-0.000941938953474164,-0.002055736258625984,0.0,0.0,0.0,0.0,-0.00010104198008775711,0.0,0.0,0.0,0.0,0.00018882378935813904,0.0,0.0
0.0,0.0011392789892852306,0.0021925363689661026,0.0,0.0,0.0005610629450529814,0.00021210708655416965,-0.0001903623342514038,0.0007539540529251099,0.0,0.0,8.237175643444061e-05,0.0,0.0,-0.0007964810356497765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012041190639138222,0.0,-2.6144087314605713e-05,0.0,0.0010436372831463814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002796687185764313,0.0,0.0,0.0001677749678492546,-8.483417332172394e-05,0.0,0.0,0.0,0.0,0.0,0.08248177915811539,0.0,0.0,0.0,0.0003573480062186718,-0.000515978317707777,0.0,0.0,0.0,0.0,-1.9637402147054672e-05,0.0,0.0,0.0,0.0,-0.0004430580884218216,0.0,0.0
0.0,0.001214579213410616,0.0014132317155599594,0.0,0.0,0.0002694933209568262,-2.5906367227435112e-05,-0.00018242467194795609,0.0007038544863462448,0.0,0.0,-2.0401552319526672e-05,0.0,0.0,-0.0002503078430891037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008164616301655769,0.0,4.190206527709961e-05,0.0,-7.068365812301636e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00043799541890621185,0.0,0.0,0.00023270724341273308,0.0004210136830806732,0.0,0.0,0.0,0.0,0.0,0.06133724004030228,0.0,0.0,0.0,4.765251651406288e-05,-0.000471300445497036,0.0,0.0,0.0,0.0,5.038222298026085e-05,0.0,0.0,0.0,0.0,-0.00041752681136131287,0.0,0.0
0.0,0.0012487559579312801,0.0007321406155824661,0.0,0.0,0.0004890384152531624,0.00012432713992893696,-0.00011884327977895737,0.0003639310598373413,0.0,0.0,-5.302205681800842e-05,0.0,0.0,-6.104353815317154e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028738100081682205,0.0,2.8170645236968994e-05,0.0,-2.2603198885917664e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003244522958993912,0.0,0.0,3.494787961244583e-06,5.181506276130676e-05,0.0,0.0,0.0,0.0,0.0,0.047532059252262115,0.0,0.0,0.0,-3.6119017750024796e-05,-0.0003374037332832813,0.0,0.0,0.0,0.0,-1.3887416571378708e-05,0.0,0.0,0.0,0.0,-0.000251084566116333,0.0,0.0
0.0,0.0012449710629880428,0.0005719531327486038,0.0,0.0,0.0002809944562613964,7.343129254877567e-05,-0.00012209173291921616,0.00012180767953395844,0.0,0.0,4.254467785358429e-05,0.0,0.0,2.703629434108734e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011600181460380554,0.0,4.540756344795227e-05,0.0,0.00031496211886405945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002723429352045059,0.0,0.0,-7.829628884792328e-06,0.0002986788749694824,0.0,0.0,0.0,0.0,0.0,0.03656742721796036,0.0,0.0,0.0,-2.0375940948724747e-05,-0.00035236263647675514,0.0,0.0,0.0,0.0,1.6349367797374725e-06,0.0,0.0,0.0,0.0,-0.00010696053504943848,0.0,0.0
0.0,0.0012300708331167698,0.000558728352189064,0.0,0.0,0.0002558280248194933,2.4951761588454247e-05,-0.00012919772416353226,3.1478703022003174e-05,0.0,0.0,0.0001207347959280014,0.0,0.0,1.004338264465332e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003616269677877426,0.0,4.532933235168457e-05,0.0,0.00042250193655490875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017839856445789337,0.0,0.0,5.769263952970505e-05,0.0005022641271352768,0.0,0.0,0.0,0.0,0.0,0.02883262187242508,0.0,0.0,0.0,-5.437806248664856e-05,-0.0003436068072915077,0.0,0.0,0.0,0.0,2.6957597583532333e-05,0.0,0.0,0.0,0.0,-8.113309741020203e-05,0.0,0.0
0.0,0.0012197052128612995,0.0005527269095182419,0.0,0.0,0.00025181868113577366,1.636170782148838e-05,-0.0001388927921652794,6.387010216712952e-06,0.0,0.0,0.00014665164053440094,0.0,0.0,-4.973262548446655e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004943655803799629,0.0,3.067776560783386e-05,0.0,0.00039720721542835236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017677806317806244,0.0,0.0,5.023786798119545e-05,0.0004940629005432129,0.0,0.0,0.0,0.0,0.0,0.023589737713336945,0.0,0.0,0.0,-5.153566598892212e-05,-0.00032114889472723007,0.0,0.0,0.0,0.0,4.126736894249916e-05,0.0,0.0,0.0,0.0,-6.774254143238068e-05,0.0,0.0
0.0,0.0012170551344752312,0.000546598806977272,0.0,0.0,0.00022717006504535675,1.9620638340711594e-05,-0.00015094876289367676,-1.8309801816940308e-06,0.0,0.0,0.00014067627489566803,0.0,0.0,-8.133240044116974e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000562034547328949,0.0,1.633167266845703e-05,0.0,0.00036263931542634964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019564852118492126,0.0,0.0,1.3493001461029053e-05,0.00042233243584632874,0.0,0.0,0.0,0.0,0.0,0.020335055887699127,0.0,0.0,0.0,-3.126170486211777e-05,-0.00030579324811697006,0.0,0.0,0.0,0.0,4.661409184336662e-05,0.0,0.0,0.0,0.0,-5.9429556131362915e-05,0.0,0.0
0.0,0.0012196660973131657,0.0005430839955806732,0.0,0.0,0.00020128232426941395,1.8710503354668617e-05,-0.00016162078827619553,-6.051734089851379e-06,0.0,0.0,0.0001252647489309311,0.0,0.0,-7.897615432739258e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005964906886219978,0.0,7.927417755126953e-06,0.0,0.0003474913537502289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019168853759765625,0.0,0.0,-1.6384292393922806e-05,0.00037091225385665894,0.0,0.0,0.0,0.0,0.0,0.018529988825321198,0.0,0.0,0.0,-1.3620592653751373e-05,-0.0002972409129142761,0.0,0.0,0.0,0.0,4.6683941036462784e-05,0.0,0.0,0.0,0.0,-5.354173481464386e-05,0.0,0.0
